id,name,parish,classification,status,lat,lng,town
st-boniface-harbour-view-kingston,St. Boniface,Kingston,church,inactive,17.9474,-76.7171,Harbour View
church-of-the-ascension-up-park-camp-kingston,Church of the Ascension (Garrison),Kingston,church,active,17.9939,-76.7785,Up Park Camp
st-alban-s-kingston-kingston,St. Alban's,Kingston,mission,inactive,17.9734,-76.7912,Kingston
st-michael-s-kingston-allman-town-kingston,St. Michael's,Kingston,church,inactive,17.9972,-76.7823,Kingston (Allman Town)
kingston-parish-church-st-thomas-the-apostle-kingston-parade-king-st-kingston,Kingston Parish Church (St. Thomas the Apostle),Kingston,church,active,17.9701,-76.7926,Kingston (Parade/King St)
all-saints-west-branch-kingston,All Saints' (West Branch),Kingston,mission,inactive,17.9701,-76.7926,Kingston (West Branch)
st-peter-s-church-old-port-royal-kingston,St. Peter's Church (Old),Kingston,church,ruin,17.9353,-76.8412,Port Royal
christ-church-vineyard-town-kingston,Christ Church,Kingston,church,inactive,17.9923,-76.7823,Vineyard Town
st-patrick-s-windward-road-kingston,St. Patrick's,Kingston,church,inactive,17.9912,-76.7612,Windward Road
st-andrew-s-albert-town-manchester,St. Andrew's,Manchester,church,inactive,18.2412,-77.5512,Albert Town
st-john-the-divine-alston-manchester,St. John the Divine,Manchester,church,active,18.1830,-77.4360,Alston
st-john-s-auchtembeddie-manchester,St. John's,Manchester,church,active,18.21323,-77.62421,Auchtembeddie
st-stephen-s-chantilly-manchester,St. Stephen's,Manchester,church,inactive,18.10578,-77.46774,Chantilly
st-gabriel-s-church-christiana-manchester,St. Gabriel's Church,Manchester,church,active,18.1821,-77.4947,Christiana
christ-church-christiana-manchester,Christ Church,Manchester,church,active,18.1619,-77.4923,Christiana
st-john-the-baptist-s-coleyville-manchester,St. John the Baptist's,Manchester,church,active,18.1623,-77.5623,Coleyville
st-simon-s-comfort-hall-manchester,St. Simon's,Manchester,church,active,18.1798,-77.6127,Comfort Hall
st-james-s-craighead-manchester,St. James',Manchester,church,inactive,18.2612,-77.5112,Craighead
st-lawrence-s-devon-manchester,St. Lawrence's,Manchester,church,active,18.1312,-77.5923,Devon
st-james-kendal-manchester,St. James',Manchester,church,active,18.0737,-77.4937,Kendal
st-mark-s-parish-church-mandeville-manchester,St. Mark's (Parish Church),Manchester,church,active,18.0375,-77.508,Mandeville
st-paul-s-church-mile-gully-manchester,St. Paul's Church,Manchester,church,active,18.1693,-77.5721,Mile Gully
st-george-s-church-ruins-auchtembeddie-manchester,St. George's Church Ruins,Manchester,church,ruin,18.15237,-77.56365,Mile Gully
st-barnabas-mile-gully-manchester,St. Barnabas',Manchester,church,active,18.1355,-77.543,Mile Gully
st-philip-s-old-england-manchester,St. Philip's,Manchester,church,active,17.9978,-77.467,Old England
st-augustine-s-porus-manchester,St. Augustine's,Manchester,church,active,17.9923,-77.4123,Porus
st-george-s-georges-valley-manchester,St. George's,Manchester,church,active,18.0317,-77.4808,Georges Valley
st-jude-s-battersea-manchester,St. Jude's,Manchester,church,active,18.2203,-77.4814,Battersea
st-jude-s-pratville-manchester,St. Jude's,Manchester,church,active,18.0623,-77.4512,Pratville
st-patrick-s-providence-manchester,St. Patrick's,Manchester,church,active,18.0712,-77.5823,Providence
st-luke-s-smithfield-manchester,St. Luke's,Manchester,church,inactive,18.0923,-77.6123,Smithfield
st-david-s-snowdon-manchester,St. David's,Manchester,church,active,18.0823,-77.4923,Snowdon
st-paul-s-spalding-manchester,St. Paul's,Manchester,church,active,18.1923,-77.5512,Spalding
st-james-s-toll-gate-manchester,St. James',Manchester,church,inactive,18.0212,-77.5123,Toll Gate
st-silas-s-troy-manchester,St. Silas',Manchester,church,inactive,18.2112,-77.6312,Troy
st-peter-s-wait-a-bit-manchester,St. Peter's,Manchester,church,inactive,18.2312,-77.5712,Wait-a-Bit
st-barnabas-s-warsop-manchester,St. Barnabas',Manchester,church,inactive,18.2512,-77.5312,Warsop
st-mark-s-church-williamsfield-manchester,St. Mark's Church,Manchester,church,active,18.0752,-77.4682,Williamsfield
st-philip-s-bangor-ridge-portland,St. Philip's,Portland,church,active,18.1823,-76.5712,Bangor Ridge
st-joseph-s-belvedere-portland,St. Joseph's,Portland,church,active,18.1823,-76.4712,Belvedere
st-james-birnamwood-portland,St. James',Portland,church,active,18.1712,-76.7023,Birnamwood
st-mark-s-boston-portland,St. Mark's,Portland,church,active,18.1629,-76.35612,Boston
boundbrook-chapel-of-ease-boundbrook-portland,Boundbrook Chapel-of-Ease,Portland,chapel,active,18.1823,-76.4623,Boundbrook
st-jude-s-bourbon-portland,St. Jude's,Portland,church,active,18.1823,-76.6023,Bourbon
st-george-s-buff-bay-portland,St. George's,Portland,church,active,18.2343,-76.6579,Buff Bay
holy-trinity-bybrook-portland,Holy Trinity,Portland,mission,inactive,18.1412,-76.5712,Bybrook
st-paul-s-claverty-cottage-portland,St. Paul's,Portland,church,active,18.0923,-76.4512,Claverty Cottage
st-catherine-s-claverty-cottage-portland,St. Catherine's,Portland,mission,inactive,18.1312,-76.5412,Claverty Cottage
st-luke-s-comfort-castle-portland,St. Luke's,Portland,church,active,18.0521,-76.4141,Comfort Castle
st-john-s-cooper-s-hill-portland,St. John's,Portland,church,active,18.13755,-76.48742,Cooper's Hill
st-bartholomew-s-cooper-s-hill-portland,St. Bartholomew's,Portland,mission,inactive,18.1123,-76.6023,Cooper's Hill
st-edmund-s-fairfield-portland,St. Edmund's,Portland,mission,inactive,18.0623,-76.5823,Fairfield
all-saints-fellowship-portland,All Saints',Portland,church,active,18.0212,-76.4212,Fellowship
st-michael-s-fruitful-vale-portland,St. Michael's,Portland,church,active,18.0812,-76.4723,Fruitful Vale
st-andrew-s-hope-bay-portland,St. Andrew's,Portland,church,inactive,18.20064,-76.56736,Hope Bay
st-michael-s-john-s-hall-portland,St. Michael's,Portland,church,active,18.092,-76.463,John's Hall
st-barnabas-john-s-hall-portland,St. Barnabas',Portland,mission,inactive,18.1712,-76.6023,John's Hall
st-thomas-manchioneal-portland,St. Thomas',Portland,church,active,18.03624,-76.27999,Manchioneal
st-paul-s-moore-town-portland,St. Paul's,Portland,church,active,18.0777,-76.4281,Moore Town
st-peter-s-chapel-ruin-nonsuch-portland,St. Peter's Chapel (Ruin),Portland,chapel,ruin,18.14692,-76.37788,Nonsuch
st-paul-s-nonsuch-portland,St. Paul's,Portland,church,active,18.1469,-76.5234,Nonsuch
st-dunstan-s-orange-bay-portland,St. Dunstan's,Portland,church,active,18.0712,-76.5312,Orange Bay
christ-church-parish-church-port-antonio-portland,Christ Church (Parish Church),Portland,church,active,18.1753,-76.4512,Port Antonio
st-mary-s-rural-hill-portland,St. Mary's,Portland,church,active,18.0634,-76.3234,Rural Hill
st-christopher-s-sherwood-forest-portland,St. Christopher's,Portland,church,active,18.1312,-76.3312,Sherwood Forest
st-stephen-s-church-st-margaret-s-bay-portland,St. Stephen's Church,Portland,church,active,18.1956,-76.5191,St. Margaret's Bay
st-philip-s-st-margaret-s-bay-portland,St. Philip's,Portland,church,inactive,18.1923,-76.5412,St. Margaret's Bay
st-john-s-windsor-forrest-portland,St. John's,Portland,church,active,18.1412,-76.5212,Windsor Forrest
st-cyprians-august-town-st-andrew,St Cyprian’s,St. Andrew,church,active,17.991232,-76.737882,August Town
st-gabriel-s-brandon-hill-st-andrew,St. Gabriel's,St. Andrew,church,inactive,18.0123,-76.8212,Brandon Hill
st-philip-s-brandon-hill-st-andrew,St. Philip's,St. Andrew,church,active,18.1482,-76.8051,Brandon Hill
st-christopher-s-cavaliers-st-andrew,St. Christopher's,St. Andrew,church,active,18.0949,-76.8353,Cavaliers
st-peter-s-clifton-st-andrew,St. Peter's,St. Andrew,church,active,18.0823,-76.7923,Clifton
st-simon-s-clifton-st-andrew,St. Simon's,St. Andrew,church,inactive,18.0312,-76.7712,Clifton
church-of-the-good-shepherd-constant-spring-st-andrew,Church of the Good Shepherd,St. Andrew,church,active,18.0412,-76.8023,Constant Spring
st-martin-in-the-fields-irish-town-st-andrew,St Mark’s,St. Andrew,chapel,active,18.055785,-76.723027,Craighton
st-mark-s-craigton-st-andrew,St. Mark's,St. Andrew,church,active,18.0712,-76.7023,Craigton
st-alban-s-craigton-st-andrew,St. Alban's,St. Andrew,church,inactive,18.0712,-76.7712,Craigton
st-luke-s-church-cross-roads-st-andrew,St. Luke's Church,St. Andrew,church,active,18.0051,-76.7921,Cross Roads
church-of-the-resurrection-duhaney-park-st-andrew,Church of the Resurrection,St. Andrew,church,active,17.9923,-76.8412,Duhaney Park
st-andrew-parish-church-half-way-tree-st-andrew,St. Andrew Parish Church,St. Andrew,church,active,18.0104,-76.79967,Half-Way-Tree
church-of-the-transfiguration-havendale-st-andrew,Church of the Transfiguration,St. Andrew,church,active,18.04287,-76.81476,Havendale
st-cuthbert-s-hunt-s-bay-st-andrew,St. Cuthbert's,St. Andrew,mission,inactive,17.9923,-76.8512,Hunt's Bay
st-matthew-s-jack-s-hill-st-andrew,St. Matthew's,St. Andrew,church,active,18.0512,-76.7712,Jack's Hill
st-clement-s-kencot-st-andrew,St. Clement's,St. Andrew,church,active,18.0023,-76.8123,Kencot
st-barnabas-kencot-st-andrew,St. Barnabas,St. Andrew,mission,inactive,18.0134,-76.8034,Kencot
st-clement-s-mission-kencot-st-andrew,St. Clement's Mission,St. Andrew,mission,active,18.0112,-76.8012,Kencot
st-mary-s-chapel-lawrencefield-st-andrew,St. Mary's Chapel,St. Andrew,chapel,active,18.0521,-76.7498,Lawrencefield
st-margaret-s-church-liguanea-st-andrew,St. Margaret's Church,St. Andrew,church,active,18.0192,-76.7617,Liguanea
st-margaret-s-liguanea-st-andrew,St. Margaret's,St. Andrew,church,active,18.01919,-76.76171,Liguanea
st-thomas-mission-majesty-gardens-st-andrew,St. Thomas Mission,St. Andrew,mission,active,17.9923,-76.8212,Majesty Gardens
st-mary-the-virgin-marverly-st-andrew,St. Mary the Virgin,St. Andrew,church,active,18.0023,-76.8312,Marverly
st-stephen-s-maryland-st-andrew,St. Stephen's,St. Andrew,church,active,18.1212,-76.7823,Maryland
st-michael-s-mission-mavis-bank-st-andrew,St. Michael's Mission,St. Andrew,mission,active,18.03106,-76.65732,Mavis Bank
st-michael-s-mavis-bank-st-andrew,St. Michael's,St. Andrew,church,active,18.0712,-76.6823,Mavis Bank
st-john-s-merrivale-st-andrew,St. John's,St. Andrew,church,active,18.0512,-76.8212,Merrivale
church-of-ascension-mona-st-andrew,Church of Ascension,St. Andrew,church,active,18.01493,-76.74718,Mona
st-james-mount-james-st-andrew,St. James',St. Andrew,church,active,18.0823,-76.8512,Mount James
mount-james-mount-james-st-andrew,Mount James,St. Andrew,mission,active,18.11651,-76.78746,Mount James
st-martin-s-padmore-st-andrew,St. Martin's,St. Andrew,church,active,18.0912,-76.8412,Padmore
st-jude-s-stony-hill-st-andrew,St. Jude's,St. Andrew,church,active,18.0801,-76.7967,Stony Hill
all-saints-stony-hill-st-andrew,All Saints',St. Andrew,church,active,18.0923,-76.7923,Stony Hill
st-christopher-s-stony-hill-st-christopher-s-st-andrew,St. Christopher's,St. Andrew,church,inactive,18.1023,-76.8312,Stony Hill / St Christopher's
st-nathaniel-s-swallowfield-st-andrew,St. Nathaniel's,St. Andrew,mission,inactive,17.9923,-76.7823,Swallowfield
st-joseph-s-the-grove-st-andrew,St. Joseph's,St. Andrew,church,active,18.0212,-76.7623,The Grove
st-agnes-the-grove-st-andrew,St. Agnes',St. Andrew,church,inactive,18.0512,-76.7923,The Grove
st-bartholomew-s-tom-s-river-st-andrew,St. Bartholomew's,St. Andrew,church,active,18.1112,-76.7923,Tom's River
st-paul-s-tower-hill-st-andrew,St. Paul's,St. Andrew,church,active,18.0312,-76.8412,Tower Hill
st-philip-s-whitfield-town-st-andrew,St. Philip's,St. Andrew,church,active,17.9823,-76.8023,Whitfield Town
st-mary-s-church-woodford-st-andrew,St. Mary's Church,St. Andrew,church,active,18.06737,-76.74234,Woodford
st-andrew-s-woodford-st-andrew,St. Andrew's,St. Andrew,church,inactive,18.0412,-76.6823,Woodford
st-luke-s-aboukir-st-ann,St. Luke's,St. Ann,church,active,18.3412,-77.3623,Aboukir
st-andrew-s-bamboo-st-ann,St. Andrew's,St. Ann,church,active,18.3623,-77.3023,Bamboo
st-david-s-brittonville-st-ann,St. David's,St. Ann,church,active,18.1923,-77.2823,Brittonville
st-mark-s-church-brown-s-town-st-ann,St. Mark's Church,St. Ann,church,active,18.39302,-77.36773,Brown's Town
st-john-s-mission-chalky-hill-st-ann,St. John's Mission,St. Ann,mission,active,18.3897,-77.1412,Chalky Hill
st-mark-s-chester-st-ann,St. Mark's,St. Ann,church,active,18.4023,-77.1512,Chester
st-matthew-s-claremont-st-ann,St. Matthew's,St. Ann,church,active,18.2412,-77.2412,Claremont
st-james-gibraltar-st-ann,St. James',St. Ann,church,active,18.3412,-77.3412,Gibraltar
st-francis-church-hiattsfield-st-ann,St. Francis Church,St. Ann,church,active,18.3623,-77.0623,Hiattsfield
st-stephen-s-chapel-lime-hall-st-ann,St. Stephen's Chapel,St. Ann,chapel,active,18.40478,-77.21355,Lime Hall
st-saviour-s-lime-hall-st-ann,St. Saviour's,St. Ann,church,active,18.3512,-77.1712,Lime Hall
st-barnabas-madras-st-ann,St. Barnabas',St. Ann,church,active,18.30139,-77.44241,Madras
christ-church-moneague-st-ann,Christ Church,St. Ann,church,active,18.27097,-77.11521,Moneague
st-john-s-ocho-rios-st-ann,St. John's,St. Ann,church,active,18.4004,-77.10157,Ocho Rios
st-andrew-s-prickly-pole-st-ann,St. Ann's,St. Ann,church,active,18.28533,-77.25904,Prickly Pole
st-agnes-church-priory-st-ann,St. Agnes',St. Ann,church,active,18.44388,-77.22773,Priory
st-agnes-salisbury-st-ann,St. Agnes,St. Ann,church,active,18.35902,-77.10633,Salisbury
st-ann-parish-church-st-ann-s-bay-st-ann,St. Ann Parish Church,St. Ann,church,active,18.4345,-77.2026,St. Ann's Bay
st-george-s-bartons-st-catherine,St. George's,St. Catherine,church,active,18.0623,-77.0912,Bartons
all-saints-bellas-gate-st-catherine,All Saints',St. Catherine,church,active,18.0823,-77.0712,Bellas Gate
st-george-s-blackstonedge-st-catherine,St. George's,St. Catherine,church,inactive,18.1212,-77.0723,Blackstonedge
st-faith-s-bodles-old-harbour-area-st-catherine,St. Faith's,St. Catherine,church,inactive,17.9123,-77.1412,Bodles / Old Harbour area
st-thomas-ye-vale-bog-walk-st-catherine,St. Thomas-ye-Vale,St. Catherine,church,active,18.1176,-77.0127,Bog Walk
church-of-reconciliation-bridgeport-portmore,Church of Reconciliation,St. Catherine,church,inactive,17.9512,-76.8923,Bridgeport
st-barnabas-crescent-st-catherine,St. Barnabas',St. Catherine,church,active,18.0234,-77.0412,Crescent
church-of-the-holy-spirit-cumberland-portmore,Church of the Holy Spirit,St. Catherine,church,inactive,17.9612,-76.9123,Cumberland
ss-simon-and-jude-ewarton-st-catherine,SS Simon and Jude,St. Catherine,church,active,18.1806,-77.0861,Ewarton
st-faith-s-faith-s-st-catherine,St. Faith's,St. Catherine,church,active,18.1312,-77.0823,Faith's
st-paul-s-goba-st-catherine,St. Paul's,St. Catherine,mission,inactive,18.1023,-77.0212,Goffe / Goba (district)
st-john-s-opc-guanaboa-vale-st-catherine,St. John's OPC,St. Catherine,church,active,18.0423,-77.0312,Guanaboa Vale
st-james-guanoboa-vale-st-catherine,St. James',St. Catherine,church,inactive,18.0512,-77.0712,Guanoboa Vale
st-mark-s-ham-walk-st-catherine,St. Mark's,St. Catherine,church,active,18.0512,-77.0512,Ham Walk
st-saviour-s-harewood-st-catherine,St. Saviour's,St. Catherine,church,active,18.0923,-77.0512,Harewood
st-luke-s-harewood-st-catherine,St. Luke's,St. Catherine,church,inactive,18.0412,-77.0923,Harewood
st-thomas-highgate-st-catherine,St. Thomas',St. Catherine,church,inactive,18.1212,-76.9923,Highgate (Sligoville area)
st-joseph-s-innswood-mccook-s-pen-st-catherine,St. Joseph's,St. Catherine,church,active,17.9766,-77.0101,Innswood/McCook's Pen
st-john-s-church-linstead-st-catherine,St. John's Church,St. Catherine,church,active,18.13456,-77.03264,Linstead
church-of-the-holy-trinity-linstead-st-catherine,Church of the Holy Trinity,St. Catherine,church,active,18.1234,-77.0212,Linstead
st-peter-s-linstead-st-catherine,St. Peter's,St. Catherine,church,inactive,18.1389,-77.0251,Linstead
st-peter-s-lluidas-vale-st-catherine,St. Peter's,St. Catherine,church,inactive,18.2212,-77.1823,Lluidas Vale
st-stephen-s-lucky-valley-st-catherine,St. Stephen's,St. Catherine,mission,inactive,18.1823,-77.2023,Lucky Valley
st-mark-s-macca-tree-st-catherine,St. Mark's,St. Catherine,church,active,18.1512,-77.0512,Macca Tree
st-phillip-s-morris-hall-st-catherine,St. Phillip's,St. Catherine,church,active,18.0823,-77.0512,Morris Hall
st-boniface-mount-industry-st-catherine,St. Boniface,St. Catherine,church,active,18.0923,-76.9412,Mount Industry
st-matthew-s-mt-moorland-st-catherine,St. Matthew's,St. Catherine,church,active,18.0312,-76.9923,Mt. Moorland
st-dorothy-s-church-old-harbour-st-catherine,St. Dorothy's Church,St. Catherine,church,active,17.9422,-77.0891,Old Harbour
holy-trinity-old-harbour-st-catherine,Holy Trinity,St. Catherine,church,inactive,17.9623,-77.1123,Old Harbour
st-christopher-s-old-harbour-bay-st-catherine,St. Christopher's,St. Catherine,church,active,17.9212,-77.1023,Old Harbour Bay
st-peter-s-old-works-st-catherine,St. Peter's,St. Catherine,church,active,18.0712,-76.9712,Old Works
st-george-s-point-hill-st-catherine,St. George's,St. Catherine,church,active,18.0712,-77.0712,Point Hill
st-philip-s-point-hill-st-catherine,St. Philip's,St. Catherine,church,inactive,18.1512,-77.1123,Point Hill
st-john-s-sligoville-st-catherine,St. John's,St. Catherine,church,active,18.0876,-76.9419,Sligoville
st-andrew-s-somerset-hall-st-catherine,St. Andrew's,St. Catherine,church,inactive,18.1212,-76.9512,Somerset Hall
st-jago-de-la-vega-the-cathedral-spanish-town-st-catherine,St. Jago de la Vega (The Cathedral),St. Catherine,cathedral,active,17.9944,-76.9521,Spanish Town
holy-trinity-spanish-town-st-catherine,Holy Trinity,St. Catherine,church,inactive,17.9923,-76.9623,Spanish Town
st-augustine-s-watermount-st-catherine,St. Augustine's,St. Catherine,church,active,18.0823,-77.0023,Watermount
st-bartholomew-s-woodside-st-catherine,St. Bartholomew's,St. Catherine,mission,inactive,18.2412,-77.1923,Woodside
st-martin-s-accompong-st-elizabeth,St. Martin's,St. Elizabeth,mission,active,18.2278,-77.7509,Accompong
st-stephen-s-arlington-st-elizabeth,St. Stephen's,St. Elizabeth,church,active,18.0038,-77.7788,Arlington
st-luke-s-balaclava-st-elizabeth,St. Luke's,St. Elizabeth,church,active,18.1512,-77.6312,Balaclava
st-paul-s-barbary-hall-st-elizabeth,St. Paul's,St. Elizabeth,church,active,17.95734,-77.76833,Barbary Hall
st-aidan-s-bull-savannah-st-elizabeth,St. Aidan's,St. Elizabeth,church,active,17.8868,-77.5902,Bull Savannah
epiphany-bigwoods-district-st-elizabeth,Epiphany,St. Elizabeth,church,active,17.9363,-77.71237,Bigwoods District
st-john-s-parish-church-black-river-st-elizabeth,St. John's (Parish Church),St. Elizabeth,church,active,18.02395,-77.84934,Black River
all-souls-brompton-st-elizabeth,All Souls',St. Elizabeth,church,active,18.0512,-77.8123,Brompton
st-matthew-s-burnt-savanna-st-elizabeth,St. Matthew's,St. Elizabeth,church,active,18.01763,-77.75512,Burnt Savanna
st-barnabas-s-crawford-st-elizabeth,St. Barnabas',St. Elizabeth,church,inactive,18.0823,-77.8312,Crawford
st-peter-s-flagaman-st-elizabeth,St. Peter's,St. Elizabeth,church,active,17.89051,-77.72417,Flagaman
st-andrew-s-gilnock-st-elizabeth,St. Andrew's,St. Elizabeth,church,active,18.05597,-77.66437,Gilnock
st-paul-s-keynsham-st-elizabeth,St. Paul's,St. Elizabeth,church,inactive,18.1423,-77.6523,Keynsham
st-thomas-kings-st-elizabeth,St. Thomas',St. Elizabeth,church,active,18.08371,-77.95403,Kings
st-thomas-lacovia-st-elizabeth,St. Thomas',St. Elizabeth,church,active,18.09196,-77.76808,Lacovia
the-transfiguration-leeds-st-elizabeth,The Transfiguration,St. Elizabeth,church,inactive,18.0512,-77.6812,Leeds
all-souls-luana-st-elizabeth,All Souls,St. Elizabeth,church,active,18.06626,-77.87750,Luana
st-stephen-s-church-malvern-st-elizabeth,St. Stephen's Church,St. Elizabeth,church,active,17.9712,-77.7043,Malvern
st-margaret-s-middle-quarters-st-elizabeth,St. Margaret's,St. Elizabeth,church,active,18.1032,-77.835,Middle Quarters
st-david-s-morningside-st-elizabeth,St. David's,St. Elizabeth,church,inactive,17.9212,-77.7123,Morningside
st-augustine-s-mountainside-st-elizabeth,St. Augustine's,St. Elizabeth,church,active,17.98343,-77.75058,Mountainside
all-saints-newell-st-elizabeth,All Saints',St. Elizabeth,church,inactive,17.9123,-77.6412,Newell
st-matthew-s-orange-grove-st-elizabeth,St. Matthew's,St. Elizabeth,church,active,17.9412,-77.6312,Orange Grove
st-peter-s-pedro-plains-st-elizabeth,St. Peter's,St. Elizabeth,church,active,17.9023,-77.6712,Pedro Plains
church-of-the-holy-spirit-pepper-st-elizabeth,Church of the Holy Spirit,St. Elizabeth,church,inactive,18.0323,-77.7012,Pepper
st-paul-s-church-old-pimento-walk-st-elizabeth,St. Paul's Church (Old),St. Elizabeth,church,ruin,18.0521,-77.7823,Pimento Walk
st-matthew-s-santa-cruz-st-elizabeth,St. Matthew's,St. Elizabeth,church,active,18.05482,-77.69666,Santa Cruz
st-mark-s-church-siloah-st-elizabeth,St. Mark's Church,St. Elizabeth,church,active,18.17315,-77.70932,Siloah
st-barnabas-siloah-st-elizabeth,St. Barnabas',St. Elizabeth,church,active,18.1512,-77.6212,Siloah
st-jude-s-slipe-st-elizabeth,St. Jude's,St. Elizabeth,mission,active,18.05518,-77.79618,Slipe
st-mark-s-mayfield-st-elizabeth,St. Mark's,St. Elizabeth,church,active,17.8822,-77.6650,Mayfield
st-margaret-s-middlesex-st-elizabeth,St. Margaret's,St. Elizabeth,church,active,18.07,-77.75,Middlesex
st-stephen-s-nain-st-elizabeth,St. Stephen's,St. Elizabeth,church,active,17.9653,-77.6053,Nain
st-boniface-pondside-st-elizabeth,St. Boniface,St. Elizabeth,church,active,17.9787,-77.7988,Pondside
st-mark-s-southfield-st-elizabeth,St. Mark's,St. Elizabeth,church,active,17.88187,-77.6663,Southfield
st-mary-s-southfield-st-elizabeth,St. Mary's,St. Elizabeth,church,inactive,17.9023,-77.6923,Southfield
st-alban-s-stanmore-hill-st-elizabeth,St Alban's,St. Elizabeth,church,active,18.00294,-77.72293,Stanmore Hill
st-paul-s-tryall-st-elizabeth,St. Paul's,St. Elizabeth,church,active,17.8851,-77.6320,Tryall
holy-trinity-whitehall-st-elizabeth,Holy Trinity,St. Elizabeth,church,active,18.11839,-77.85444,Whitehall
st-leonard-s-blue-hole-st-james,St. Leonard's,St. James,church,active,18.4512,-77.9312,Blue Hole
st-stephen-s-cambridge-st-james,St. Stephen's,St. James,church,active,18.3143,-77.9018,Cambridge
st-matthew-s-catadupa-st-james,St. Matthew's,St. James,church,active,18.2919,-77.8749,Catadupa
all-saints-chester-castle-st-james,All Saints',St. James,church,active,18.3260,-77.9497,Chester Castle
st-mark-s-chigwell-st-james,St. Mark's,St. James,church,active,18.4010,-78.0385,Chigwell
st-saviour-s-chichester-st-james,St. Saviour's,St. James,church,active,18.3353,-77.9913,Chichester
st-stephen-s-cornwall-mountain-st-james,St. Stephen's,St. James,church,active,18.29156,-77.98924,Cornwall Mountain
st-augustine-s-coral-gardens-st-james,St. Augustine's,St. James,church,active,18.51444,-77.86873,Coral Gardens
